idx,row,score,head,tail_label,in_validation,in_testing
6030,6030,-0.45477813482284546,Q80006_Computer_programming,Q80006_Computer_programming,False,False
6194,6194,-0.4849664568901062,Q80006_Computer_programming,Q8366_Algorithm,False,True
6534,6534,-0.5062084197998047,Q80006_Computer_programming,Q9143_Programming_language,False,False
4207,4207,-0.5527976155281067,Q80006_Computer_programming,Q395_Mathematics,False,False
4338,4338,-0.5891461968421936,Q80006_Computer_programming,Q42848_Data,False,False
3039,3039,-0.6744725108146667,Q28865_Python_(programming_language),Q21198_Computer_science,False,False
6194,6194,-0.6876786947250366,Q28865_Python_(programming_language),Q8366_Algorithm,False,False
6534,6534,-0.726073145866394,Q28865_Python_(programming_language),Q9143_Programming_language,False,False
4207,4207,-0.7767425775527954,Q28865_Python_(programming_language),Q395_Mathematics,False,False
2931,2931,-0.7797439694404602,Q28865_Python_(programming_language),Q205084_Computational_complexity_theory,False,False
3039,3039,-0.7933188080787659,Q2005_JavaScript,Q21198_Computer_science,False,False
6194,6194,-0.829643189907074,Q2005_JavaScript,Q8366_Algorithm,False,False
4207,4207,-0.8469055891036987,Q2005_JavaScript,Q395_Mathematics,False,False
4338,4338,-0.8616121411323547,Q2005_JavaScript,Q42848_Data,False,False
5488,5488,-0.8786458969116211,Q2005_JavaScript,Q68_Computer,False,True
5488,5488,-1.6768404245376587,Q66498419_Machine_Learning,Q68_Computer,False,False
3039,3039,-1.6838802099227905,Q66498419_Machine_Learning,Q21198_Computer_science,False,False
4207,4207,-1.686569333076477,Q66498419_Machine_Learning,Q395_Mathematics,False,False
6194,6194,-1.699399709701538,Q66498419_Machine_Learning,Q8366_Algorithm,False,False
6534,6534,-1.7184505462646484,Q66498419_Machine_Learning,Q9143_Programming_language,False,False
6534,6534,-1.1520332098007202,Q11255_MS-Office,Q9143_Programming_language,False,False
5488,5488,-1.1542993783950806,Q11255_MS-Office,Q68_Computer,False,False
3039,3039,-1.1684409379959106,Q11255_MS-Office,Q21198_Computer_science,False,False
6194,6194,-1.1791974306106567,Q11255_MS-Office,Q8366_Algorithm,False,False
6030,6030,-1.188659906387329,Q11255_MS-Office,Q80006_Computer_programming,False,False
3039,3039,-2.0032877922058105,Q110262588_Data_Science,Q21198_Computer_science,False,False
6194,6194,-2.0097103118896484,Q110262588_Data_Science,Q8366_Algorithm,False,False
6030,6030,-2.033231496810913,Q110262588_Data_Science,Q80006_Computer_programming,False,False
