idx,row,score,head,tail_label,in_validation,in_testing
6194,6194,-0.4849664568901062,Q80006_Computer_programming,Q8366_Algorithm,False,True
3538,3538,-1.406808853149414,Q28865_Python_(programming_language),Q275596_Imperative_programming,False,True
5488,5488,-0.8786458969116211,Q2005_JavaScript,Q68_Computer,False,True
5488,5488,-0.9752253293991089,Q251_Java_(programming_language),Q68_Computer,False,True
2431,2431,-1.0058934688568115,Q251_Java_(programming_language),Q175263_Data_structure,False,True
295,295,-1.6932543516159058,Q251_Java_(programming_language),Q1034415_Scope_(computer_science),True,False
4512,4512,-1.8136855363845825,Q251_Java_(programming_language),Q47506_Compiler,False,True
6534,6534,-0.7818993926048279,Q47607_SQL,Q9143_Programming_language,False,True
6283,6283,-0.987079918384552,Q47607_SQL,Q8513_Database_management_system,False,True
1736,1736,-1.0752928256988525,Q483639_Cloud_computing,Q1301371_Computer_network,True,False
4525,4525,-1.4482178688049316,Q850_MySQL,Q47607_SQL,True,False
3039,3039,-0.5454407334327698,Q79872_Object-oriented_programming,Q21198_Computer_science,True,False
6030,6030,-0.5874592661857605,Q79872_Object-oriented_programming,Q80006_Computer_programming,True,False
3100,3100,-1.5233936309814453,Q79872_Object-oriented_programming,Q216601_Object_(computer_science),True,False
3155,3155,-1.5833442211151123,Q79872_Object-oriented_programming,Q223335_Structured_programming,True,False
4338,4338,-0.9375338554382324,Q1301371_Computer_network,Q42848_Data,False,True
5867,5867,-1.6754661798477173,Q1049878_Database_design,Q755662_Relational_model,False,True
5488,5488,-0.6126422882080078,Q11660_Artificial_intelligence,Q68_Computer,True,False
913,913,-0.8666088581085205,Q11660_Artificial_intelligence,Q11216_Numerical_analysis,False,True
3381,3381,-1.5910050868988037,Q3510521_Computer_security,Q2526135_Security,False,True
1929,1929,-1.3657519817352295,Q844240_Computer_vision,Q141495_Mathematical_optimization,True,False
4137,4137,-1.6467145681381226,Q844240_Computer_vision,Q378859_Pattern_recognition,True,False
6194,6194,-0.6350315809249878,Q80993_Software_engineering,Q8366_Algorithm,False,True
6243,6243,-2.052081823348999,Q80993_Software_engineering,Q845566_Debugging,False,True
2452,2452,-1.0304814577102661,Q141495_Mathematical_optimization,Q176623_Random_variable,False,True
6136,6136,-1.1799348592758179,Q141495_Mathematical_optimization,Q82571_Linear_algebra,False,True
6024,6024,-0.8772768974304199,Q638608_Software_development,Q79872_Object-oriented_programming,True,False
356,356,-1.6364853382110596,Q193076_Functional_programming,Q1051282_Generic_programming,False,True
6428,6428,-1.806056261062622,Q46441_Cascading_Style_Sheets,Q8811_HTML,False,True
4525,4525,-1.8554801940917969,Q215819_Microsoft_SQL_Server,Q47607_SQL,True,False
6534,6534,-0.6868746280670166,Q264164_Recursion_(computer_science),Q9143_Programming_language,True,False
1526,1526,-1.0547045469284058,Q131476_Graph_theory,Q117801_Computational_science,False,True
4078,4078,-1.6170294284820557,Q131476_Graph_theory,Q363874_Graph_(mathematics),True,False
3039,3039,-0.8785699009895325,Q380679_Dynamic_programming,Q21198_Computer_science,False,True
4207,4207,-0.9096429347991943,Q380679_Dynamic_programming,Q395_Mathematics,False,True
4622,4622,-1.518477201461792,Q207440_Hash_table,Q494756_Data_(computing),True,False
5488,5488,-0.5071134567260742,Q2539_Machine_learning,Q68_Computer,False,True
6631,6631,-0.9651927947998047,Q2539_Machine_learning,Q938438_Statistical_inference,False,True
2870,2870,-1.1419765949249268,Q2539_Machine_learning,Q200125_Expected_value,True,False
2431,2431,-1.26170015335083,Q193351_Data_warehouse,Q175263_Data_structure,False,True
2931,2931,-0.8121592402458191,Q180634_Distributed_computing,Q205084_Computational_complexity_theory,True,False
2453,2453,-1.601723551750183,Q12483_Statistics,Q176640_Randomness,True,False
2504,2504,-0.7808442115783691,Q8366_Algorithm,Q179310_Computing,False,True
6113,6113,-1.072575569152832,Q8366_Algorithm,Q818888_Computability,True,False
6194,6194,-0.567755401134491,Q30642_Natural_language_processing,Q8366_Algorithm,True,False
3394,3394,-0.713347852230072,Q30642_Natural_language_processing,Q2539_Machine_learning,False,True
6534,6534,-1.3340598344802856,Q857102_Software_design,Q9143_Programming_language,True,False
3378,3378,-1.6902729272842407,Q857102_Software_design,Q251_Java_(programming_language),True,False
6217,6217,-2.5957870483398438,Q170519_Virtual_reality,Q839721_Interactivity,False,True
4525,4525,-1.6649255752563477,Q319417_SQLite,Q47607_SQL,False,True
4460,4460,-2.1167407035827637,Q135707_User_interface_design,Q47146_User_interface,True,False
2504,2504,-1.2272082567214966,Q9135_Operating_system,Q179310_Computing,True,False
3039,3039,-1.1256318092346191,Q215206_NP-complete,Q21198_Computer_science,True,False
2799,2799,-1.9602173566818237,Q47506_Compiler,Q194152_Parsing,True,False
4207,4207,-0.9678460955619812,Q76592_Combinatorics,Q395_Mathematics,False,True
4770,4770,-1.9321599006652832,Q1192422_Pipeline_(computing),Q5300_Central_processing_unit,True,False
4622,4622,-1.49276602268219,Q184754_String_(computer_science),Q494756_Data_(computing),False,True
6194,6194,-0.8420895934104919,Q583461_Randomized_algorithm,Q8366_Algorithm,True,False
2452,2452,-1.0652445554733276,Q583461_Randomized_algorithm,Q176623_Random_variable,False,True
2754,2754,-0.9687378406524658,Q192588_Relational_database_management_system,Q192588_Relational_database_management_system,True,False
2718,2718,-1.2515230178833008,Q14001_Malware,Q189900_Information_security,True,False
6175,6175,-1.0298402309417725,Q21198_Computer_science,Q833585_Foundations_of_mathematics,True,False
1667,1667,-1.3021693229675293,Q21198_Computer_science,Q12479_Number_theory,True,False
4207,4207,-1.084601640701294,Q9492_Probability,Q395_Mathematics,False,True
3848,3848,-1.6804454326629639,Q2271421_Sentiment_analysis,Q30642_Natural_language_processing,False,True
3811,3811,-2.224670171737671,Q2271421_Sentiment_analysis,Q302088_Document_classification,False,True
1736,1736,-1.3245506286621094,Q193424_Web_service,Q1301371_Computer_network,False,True
6217,6217,-2.4134738445281982,Q207434_Human-computer_interaction,Q839721_Interactivity,True,False
3100,3100,-1.7004075050354004,Q755662_Relational_model,Q216601_Object_(computer_science),False,True
6194,6194,-1.9466575384140015,Q2835898_Distributed_algorithms,Q8366_Algorithm,False,True
6534,6534,-1.746470332145691,Q573952_Lazy_evaluation,Q9143_Programming_language,False,True
3963,3963,-0.9026054739952087,Q2914952_Concurrency_control,Q333464_Analysis_of_algorithms,True,False
1929,1929,-1.5514346361160278,Q202843_Linear_programming,Q141495_Mathematical_optimization,False,True
2718,2718,-1.241487741470337,Q8789_Cryptography,Q189900_Information_security,True,False
4035,4035,-1.3129587173461914,Q8789_Cryptography,Q3510521_Computer_security,False,True
4622,4622,-1.0053749084472656,Q8513_Database_management_system,Q494756_Data_(computing),False,True
